d R_spp
-0.035 0.5237731851301642
0.9649999999999999 0.5118295106611533
1.9649999999999999 0.5000919689386548
 2.965 0.48861196178872673
3.9650000000000003 0.4774427378941996
 4.965 0.4666389582267933
5.965000000000001  0.456256193150911
 6.965 0.44635035522078764
7.964999999999999 0.43697707429898835
 8.965 0.4281910243281326
9.964999999999998  0.420045213760882
10.965 0.41259025414794254
11.965 0.40587362354154805
12.964999999999998  0.399938943033383
13.965  0.394825285764785
14.964999999999998 0.39056653800276836
15.965 0.3871908312860497
16.965 0.3847200631788741
17.965000000000003 0.3831695218515916
18.965 0.3825476266193872
19.965 0.38285579285415583
20.965 0.3840884255267319
21.965 0.3862330412584651
22.965 0.3892705144007212
23.965000000000003 0.3931754385544656
24.965 0.3979165913048611
25.965 0.40345748695659395
26.965 0.4097569998434775
27.965 0.4167700394234589
28.965 0.4244482578715936
29.965 0.43274077120811383
30.965 0.44159487605878534
31.964999999999996 0.4509567458168748
32.964999999999996 0.4607720921139991
33.964999999999996 0.47098677995484933
34.964999999999996 0.4815473874749217
35.964999999999996 0.4924017038995272
36.964999999999996 0.5034991617955367
37.964999999999996 0.5147912020180093
38.964999999999996 0.5262315717919668
39.964999999999996 0.5377765580913284
40.964999999999996  0.549385159862642
41.964999999999996 0.5610192036913181
42.96499999999999 0.5726434082396665
43.964999999999996 0.5842254032279929
44.964999999999996 0.5957357089194251
45.964999999999996 0.6071476820463232
46.964999999999996 0.6184374339237291
47.964999999999996 0.6295837261727928
48.964999999999996 0.6405678490624701
49.964999999999996 0.6513734870035641
50.964999999999996 0.6619865752233536
51.964999999999996 0.6723951511348291
52.964999999999996  0.682589203409941
53.964999999999996 0.6925605212847782
54.964999999999996 0.7023025461758242
55.964999999999996 0.7118102272769167
56.964999999999996  0.721079882438904
57.964999999999996 0.7301090653103084
58.964999999999996  0.738896439436091
59.96499999999999 0.7474416597717574
60.964999999999996 0.7557452618681397
61.96500000000001 0.7638085588157749
62.965 0.7716335459023429
63.965 0.7792228128296439
64.965 0.7865794632533346
65.96499999999999 0.7937070413466806
66.965 0.8006094650451302
67.965 0.8072909655989182
68.965 0.8137560330437077
69.965 0.8200093671916254
70.96499999999999 0.8260558337458332
71.965 0.8319004251483574
72.965 0.8375482257824055
73.965  0.843004381165462
74.965 0.8482740707867944
75.96499999999999 0.8533624842622707
76.965  0.858274800499261
77.965 0.8630161695850114
78.965 0.8675916971322236
79.965 0.8720064308356772
80.96499999999999 0.8762653490131546
81.965 0.8803733509226735
82.965 0.8843352486657081
83.965 0.8881557605028736
84.965 0.8918395054242626
85.96499999999999 0.8953909988312742
86.965 0.8988146492003544
87.965 0.9021147556116377
88.965 0.9052955060371004
89.965 0.9083609762933536
90.96499999999999 0.9113151295740084
91.965 0.9141618164853562
92.965 0.9169047755171402
93.965 0.9195476338875899
94.96499999999999 0.9220939087084502
95.965  0.924547008421752
96.965 0.9269102344654849
97.965 0.9291867831302247
98.965 0.9313797475731194
99.96499999999999 0.9334921199595874
100.965 0.9355267937066662
101.965 0.9374865658050124
102.965 0.9393741391995145
103.965 0.9411921252108907
104.96499999999999 0.9429430459829736
105.965 0.9446293369423985
106.965 0.9462533492591692
107.965 0.9478173522981567
108.965 0.9493235360530567
109.96499999999999 0.9507740135555691
110.965 0.9521708232535734
