(5.4, 0.8087731236831867, 0.8393732569623665)
(22.0, 0.7587968887860257, 0.7960022498180425)
(38.599999999999994, 0.6976029513355467, 0.7425041701391004)
(55.2, 0.6232803930280371, 0.6768366044118581)
(63.5, 0.5806659870447615, 0.6387924065548436)
(96.69999999999999, 0.3718186392099812, 0.4472234470750133)
(113.29999999999998, 0.2470002232566974, 0.3273402964583888)
(129.9, 0.11863715635895065, 0.1944619606142447)
(146.49999999999997, 0.07441459958503291, 0.05989725073975588)
(163.09999999999997, 0.1913839909215241, 0.10359159931410247)
(179.7, 0.3180016678000825, 0.23956573752572627)
(188.0, 0.37750905741282675, 0.30473348162811237)
(204.6, 0.4856615027919325, 0.42460475562100664)
(221.2, 0.5780265273684471, 0.5281923332343169)
(237.8, 0.6549191719470783, 0.6150318365048876)
(254.4, 0.7178413356724608, 0.6863135157275964)
(271.0, 0.7687670186892979, 0.7440227704491541)
(312.5, 0.8563648988548406, 0.8429770530812406)
(354.0, 0.9065049134416718, 0.8992045663602778)
(395.49999999999994, 0.9352432385106733, 0.9312048978467596)
(437.0, 0.9518058730720255, 0.949544373172037)
(520.0, 0.9669761386002008, 0.9662511296292344)
