0	45	30
100	43	30
200	43	29
300	41.5	28
400	41	27
500	40	24
600	38	25
700	38	24
800	38	21
900	37	23
1000	35	22
1100	35	21
1200	32	20
1300	26	19
1400	26	18
1500	21	18
1600	20	18
1700	17	19
1800	17	20
1900	18	20
2000	17	22
2100	18	21
2200	22	23
2300	23	26
2400	26	28
2500	30	29
2600	34	33
2700	37	36
2800	39	42
2900	43	44
3000	47	45
3100	48	47
3200	51	51
3300	57	55
3400	59	60
3500	59	60
4000	71	67
4500	73	74
5000	75	74
5500	81	78
6000	82	76
6500	81	77
7000	82	79
